,month,cpi
35,2016.10,2.0999999999999943
34,2016.11,2.25
33,2016.12,2.0799999999999983
43,2016.2,2.299999999999997
42,2016.3,2.299999999999997
41,2016.4,2.3299999999999983
40,2016.5,2.0400000000000063
39,2016.6,1.8799999999999955
38,2016.7,1.769999999999996
37,2016.8,1.3400000000000034
36,2016.9,1.9000000000000057
32,2017.1,2.549999999999997
23,2017.10,1.8700000000000045
22,2017.11,1.730000000000004
21,2017.12,2.0
31,2017.2,0.7999999999999972
30,2017.3,0.9200000000000017
29,2017.4,1.1700000000000017
28,2017.5,1.519999999999996
27,2017.6,1.5
26,2017.7,1.4000000000000057
25,2017.8,1.769999999999996
24,2017.9,1.5999999999999943
20,2018.1,1.4699999999999989
11,2018.10,2.5400000000000063
10,2018.11,2.180000000000007
9,2018.12,1.8599999999999994
19,2018.2,2.9000000000000057
18,2018.3,2.0600000000000023
17,2018.4,1.7999999999999972
16,2018.5,1.75
15,2018.6,1.8499999999999943
14,2018.7,2.0999999999999943
13,2018.8,2.299999999999997
12,2018.9,2.5
8,2019.1,1.7399999999999949
7,2019.2,1.4899999999999949
6,2019.3,2.280000000000001
5,2019.4,2.5400000000000063
4,2019.5,2.739999999999995
3,2019.6,2.680000000000007
2,2019.7,2.799999999999997
1,2019.8,2.8400000000000034
0,2019.9,3.019999999999996
